latitude,longitude,calczip
29.72209924,-95.53907768,77063
29.75239753,-95.3646926,77010
29.81346507,-95.36975091,77022
29.79512027,-95.5458069,77080
29.83304224,-95.48286429,77092
29.82003597,-95.49911493,77055
29.75288767,-95.3413848,77003
29.60946141,-95.18528335,77034
29.6478881,-95.221283,77587
29.92368128,-95.39664465,77060
29.70146952,-95.44275663,77025
29.71659094,-95.46804812,77401
29.93908495,-95.38312524,77060
29.61952588,-95.3446732,77048
30.069017600000002,-95.21861716,77339
29.77123838,-95.58979801,77079
29.87081337,-95.42067712,77091
29.86573028,-95.48684773,77088
29.73791931,-95.47658772,77056
29.72196394,-95.36730948,77004
29.72021298,-95.46809378,77401
29.74415207,-95.39437091,77006
29.79325106,-95.52216347,77080
29.67683401,-95.47684489,77096
29.84230235,-95.46995542,77092
29.768100800000003,-95.6436462,77077
29.61353883,-95.4307023,77045
29.75231561,-95.37368784,77002
29.79012489,-95.41634365,77008
29.83254046,-95.45567323,77092
29.87005038,-95.38485731,77076
29.75808908,-95.60618579,77077
29.74737999,-95.39638688,77006
29.76381867,-95.46041873,77056
29.82839962,-95.39768993,77022
29.81850241,-95.54521938,77080
29.75481616,-95.5433121,77042
29.754909499999997,-95.62525937,77077
29.80782329,-95.41233835,77008
29.79062665,-95.37419137,77009
29.68275834,-95.35593606,77021
29.76126862,-95.36279306,77201
29.77629288,-95.22683718,77029
29.70191583,-95.48460387,77081
29.65590675,-95.35541533,77051
29.774473200000003,-95.37239067,77201
29.75201604,-95.38486483,77006
29.68059339,-95.27446743,77017
29.71315377,-95.32409664,77023
29.76602739,-95.41241454,77007
30.01141776,-95.33011013,77338
29.798288399999997,-95.44175724,77008
29.61512192,-95.43070986,77045
29.72203262,-95.51394655,77063
29.73833666,-95.42996987,77046
29.70638457,-95.30905147,77023
29.79906285,-95.44175725,77008
29.73431765,-95.40212138,77006
29.75416381,-95.3403854,77003
29.67930991,-95.36711874,77051
29.73166285,-95.50118262,77063
29.87324137,-95.4738693,77088
29.68892668,-95.58758542,77072
29.73815161,-95.36666876,77002
29.59322536,-95.35212716,77047
29.81104094,-95.35655986,77009
29.64117802,-95.24301139,77587
29.59714309,-95.21238706,77089
29.65802192,-95.4639739,77035
29.68898784,-95.47616582,77096
29.6701584,-95.36363225,77051
29.83132931,-95.28436277,77028
29.73052404,-95.49790197,77057
29.95020012,-95.41115734,77060
30.06340071,-95.19331346,77339
29.74983972,-95.38321694,77006
29.81833652,-95.48326882,77092
29.75931732,-95.37068188,77201
29.62773504,-95.22724926,77034
29.80288495,-95.40361782,77008
29.66642573,-95.33274075,77033
29.80871591,-95.28623198,77028
29.77159685,-95.34326173,77020
29.68990715,-95.40332031,77054
29.69478408,-95.40476236,77054
29.74586861,-95.36480711,77002
29.70356758,-95.50115959,77081
29.75761091,-95.38572357,77002
29.74239358,-95.53838354,77063
29.7479516,-95.57206726,77042
30.05002587,-95.18447109,77345
29.7705021,-95.41494746,77007
29.82266608,-95.56320185,77043
29.74885357,-95.36244213,77010
29.87152093,-95.29284666,77016
29.68536562,-95.39150232,77054
29.72522932,-95.47234349,77401
29.76548185,-95.32321156,77020
29.62801073,-95.44616047,77045
29.71768754,-95.53896335,77063
29.68197634,-95.45938103,77096
29.84969268,-95.37618097,77076
29.78398706,-95.56085211,77043
29.71083073,-95.49327853,77081
29.59927376,-95.21601107,77089
29.69783399,-95.41816377,77030
29.80284502,-95.47546399,77055
29.65324215,-95.56351468,77031
29.75767251,-95.38306024,77002
29.72631499,-95.47639078,77081
29.70912927,-95.33581536,77021
29.70882992,-95.33670797,77021
29.74721917,-95.5805589,77042
29.79143526,-95.420433,77008
29.87099452,-95.42068485,77091
29.79149824,-95.44642631,77008
29.7807712,-95.36385337,77009
30.05021633,-95.26259944,77339
29.73617745,-95.60584264,77077
29.73687546,-95.3782654,77006
29.77610004,-95.36161042,77201
29.75788948,-95.19692022,77547
29.613493,-95.24224082,77075
29.64423188,-95.50829311,77071
29.66748057,-95.35564422,77033
29.71398545,-95.6046981,77072
29.7663003,-95.45553589,77056
29.86211204,-95.40324406,77076
29.67704575,-95.45864857,77096
29.68754397,-95.41249073,77054
29.67319104,-95.28918449999999,77087
29.66430669,-95.46399695,77096
29.67072675,-95.46204379,77096
29.78162777,-95.38768003,77009
29.81054309,-95.39750670000001,77008
29.70517795,-95.34903529,77021
29.87558947,-95.28878796,77016
29.73887058,-95.38180547,77006
29.83935939,-95.33700573,77093
30.02895801,-95.24486936,77339
30.0448878,-95.24795086,77339
29.75723271,-95.40234372,77019
29.77951623,-95.62888345,77079
29.85839648,-95.39301305,77076
29.67296556,-95.43109061,77025
29.75846668,-95.34743502,77003
29.67084055,-95.46159021,77096
29.78485767,-95.33426038,77020
29.74510765,-95.30289468,77011
29.63025634,-95.47299796,77085
29.83561715,-95.40285484,77022
29.66813474,-95.46273038,77096
29.79057302,-95.40554817,77008
29.76750572,-95.56151585,77042
29.78926855,-95.42539980000001,77008
29.79055976,-95.40614326,77008
29.67240521,-95.27711487,77017
29.75919341,-95.36314396,77010
29.83187091,-95.56998183,77043
29.61810072,-95.44109689,77045
29.5989169,-95.492424,77489
29.75003252,-95.47953025,77056
29.71553038,-95.57140347,77042
29.80307569,-95.50652321,77055
29.73319435,-95.33253469,77003
29.74839791,-95.4188157,77019
29.59312063,-95.16993719,77062
29.78154377,-95.39292911,77007
29.68276604,-95.3490142,77033
29.72566218,-95.40345009999999,77098
29.72657396,-95.35603324,77004
30.04961197,-95.23304757,77339
29.67653077,-95.26668537,77017
29.72978022,-95.60573587,77077
29.72560305,-95.46817775,77401
29.77151289,-95.39315044,77007
29.66630547,-95.49818420000001,77096
29.62682551,-95.21634991,77034
29.76179323,-95.40898126,77007
29.81628617,-95.37515266,77022
29.82832134,-95.376213,77022
29.66611292,-95.31819908,77033
29.82153708,-95.37535095,77022
29.70392605,-95.57121271,77072
29.7079544,-95.28610988,77012
29.70125208,-95.40899654,77030
29.82332985,-95.47340401,77092
29.74008743,-95.41873923,77098
29.74304387,-95.36199196,77002
29.62715732,-95.24852742,77075
29.65772255,-95.33650218,77033
29.62085722,-95.30466462,77048
29.76006504,-95.37007906,77201
29.69761091,-95.39302836,77030
29.78810535,-95.3501007,77009
29.79228525,-95.38428929999999,77009
29.84340853,-95.2888564,77028
29.68921462,-95.45853431,77401
29.72395314,-95.40514386,77005
29.737394300000002,-95.52117161,77063
29.81639477,-95.39466868,77022
29.85983199,-95.37203607,77076
29.82688704,-95.54528806,77080
29.69022565,-95.63428497,77083
29.77821133,-95.54454951,77080
29.76069456,-95.35813151,77010
29.75925638,-95.34575657,77003
29.83235545,-95.53684228,77080
29.848948800000002,-95.41148862,77018
29.948963199999998,-95.41637422,77060
29.6479511,-95.34843442,77051
29.72786331,-95.6590882,77082
29.8038636,-95.40589133,77008
29.70560263,-95.47627259,77081
29.70234115,-95.44274911,77401
29.766042699999996,-95.41146081,77007
29.68966017,-95.44003997,77025
29.64085195,-95.50827783,77071
29.72488593,-95.33357997,77023
29.77651967,-95.31153875,77020
29.69166179,-95.44007881,77025
29.69887931,-95.38688667,77004
29.74699967,-95.35758205,77003
29.78917114,-95.44329833,77008
