Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Total Households,Total Owner Occupied,% Owner Occupied
77002,12370.0,34.1,72306.0,34779.0,6.98464025869038,4457.0,1213.0,27.21561588512452
77003,9646.0,34.1,59575.0,37760.0,27.628032345013477,9597.0,4731.0,49.29665520475148
77004,37642.0,28.3,48592.0,31067.0,19.73327665905106,28125.0,9997.0,35.544888888888885
77005,28233.0,36.5,180758.0,100896.0,3.7155102185385895,25438.0,20433.0,80.32471106219042
77006,21945.0,34.3,82878.0,68705.0,7.304625199362041,21280.0,8945.0,42.03477443609023
77007,35822.0,33.8,121458.0,85419.0,6.018647758360784,35600.0,19651.0,55.19943820224719
77008,34491.0,34.9,97690.0,65444.0,5.952277405700038,34278.0,22084.0,64.42616255324116
77009,37751.0,35.1,49383.0,33167.0,24.232470663028796,37352.0,20158.0,53.96765902762905
77010,915.0,44.6,250001.0,196722.0,6.666666666666667,915.0,78.0,8.524590163934425
77011,18598.0,34.0,30665.0,13551.0,34.15421013012152,18404.0,9341.0,50.755270593349266
77012,20085.0,33.0,36537.0,14721.0,24.032860343539955,19960.0,9174.0,45.96192384769539
77013,20790.0,30.8,39513.0,14936.0,24.555074555074555,19354.0,7642.0,39.48537769970032
77014,35729.0,31.3,45596.0,20308.0,18.85863024433933,35642.0,17682.0,49.61001066157903
77015,57258.0,29.2,45917.0,18557.0,22.817772189039086,57246.0,30726.0,53.67361911749292
77016,29597.0,38.5,32302.0,15171.0,25.931682265094434,29546.0,18968.0,64.1981994178569
77017,32556.0,33.0,44286.0,18370.0,18.15333579063767,32530.0,19067.0,58.61358745773132
77018,28073.0,37.7,81565.0,46458.0,17.383250810387207,27628.0,19039.0,68.91197336035906
77019,21572.0,39.4,112243.0,96256.0,9.910995735212312,21456.0,12281.0,57.238068605518265
77020,25898.0,33.0,27587.0,14646.0,30.500424743223416,25799.0,12645.0,49.0135276561107
77021,26654.0,33.6,35126.0,21531.0,28.674870563517672,26327.0,10572.0,40.156493333839784
77022,27364.0,34.1,30164.0,14924.0,29.399941529016225,27186.0,13143.0,48.34473626131096
77023,28528.0,33.2,37462.0,18438.0,26.360067302299495,28419.0,14199.0,49.96305288715296
77024,38110.0,44.3,118561.0,90464.0,5.791130936762005,37854.0,27681.0,73.12569345379616
77025,28922.0,36.3,71990.0,58892.0,9.435723670562203,28814.0,14580.0,50.600402582078154
77026,22799.0,35.2,26644.0,14026.0,38.55870871529453,22664.0,10573.0,46.651076597246735
77027,16012.0,33.3,91296.0,89183.0,7.013489882588059,16012.0,7050.0,44.029477891581315
77028,15725.0,38.6,30233.0,15319.0,27.904610492845787,15706.0,8622.0,54.896218005857634
77029,17894.0,34.3,32200.0,15699.0,35.69352855705823,17776.0,10870.0,61.14986498649865
77030,10813.0,33.9,75290.0,63823.0,15.7125682049385,10459.0,5047.0,48.25509130892055
77031,18052.0,32.1,44459.0,20807.0,20.65145136272989,17980.0,7916.0,44.026696329254726
77032,14443.0,24.4,30451.0,12001.0,39.548570241639545,14254.0,6225.0,43.67195173284692
77033,29692.0,34.7,33750.0,14954.0,28.3982217432305,29567.0,17485.0,59.136875570737644
77034,40183.0,28.1,47252.0,19317.0,19.767065674538983,40162.0,19810.0,49.32523280713112
77035,38324.0,33.6,44546.0,26230.0,24.425947187141215,38074.0,14622.0,38.40416031937806
77036,76605.0,30.0,29744.0,15753.0,35.19483062463286,76168.0,14179.0,18.615429051570214
77037,20038.0,32.8,41491.0,13951.0,26.245134244934626,20021.0,13477.0,67.31431996403776
77038,30653.0,28.1,41347.0,15165.0,25.7527811307213,30624.0,16988.0,55.47283176593522
77039,27972.0,28.2,34608.0,12766.0,31.94980694980695,27959.0,17727.0,63.403555205837115
77040,48273.0,34.4,55438.0,30293.0,13.10463406044787,48096.0,28766.0,59.80954757152362
77041,35372.0,35.7,79503.0,37841.0,10.202985412190433,35287.0,27345.0,77.49312778076913
77042,42098.0,31.2,47297.0,33962.0,19.473609197586583,42071.0,11167.0,26.54322454897673
77043,25838.0,36.1,60043.0,30825.0,14.528988311788838,25603.0,14540.0,56.79021989610592
77044,42665.0,30.2,76387.0,29547.0,11.911402789171452,42665.0,32083.0,75.19746865111918
77045,36270.0,31.3,51170.0,18438.0,20.90432864626413,36189.0,24665.0,68.15606952388848
77046,1029.0,44.9,90036.0,104296.0,3.109815354713314,1029.0,266.0,25.850340136054424
77047,29410.0,31.2,56706.0,23575.0,22.41074464467868,29410.0,20902.0,71.07106426385583
77048,17143.0,33.4,41220.0,18418.0,21.34982208481596,17134.0,10764.0,62.82245827010622
77049,33749.0,30.0,56760.0,22103.0,12.661115884915109,33704.0,25207.0,74.78934251127463
77050,5031.0,35.8,57163.0,22953.0,13.51619956271119,5031.0,3801.0,75.551580202743
77051,16661.0,34.3,27244.0,15190.0,34.34967889082288,16622.0,7291.0,43.86355432559259
77053,31868.0,29.5,45953.0,16372.0,24.51989456508096,31868.0,19364.0,60.763147985439936
77054,22517.0,29.4,48681.0,33017.0,20.699915619309856,22207.0,3447.0,15.522132660872698
77055,45003.0,33.3,52269.0,34256.0,22.66959980445748,44398.0,17655.0,39.765304743456916
77056,21732.0,39.1,107003.0,89180.0,5.268728142830849,21641.0,10643.0,49.17979760639527
77057,40130.0,34.4,57093.0,53201.0,15.918265636680788,40026.0,13227.0,33.04602008694349
77058,16669.0,34.0,51635.0,36293.0,17.943487911692362,16493.0,4892.0,29.661068332019646
77059,17374.0,45.1,126385.0,56162.0,3.2692529066421088,17374.0,15687.0,90.290088638195
77060,44549.0,26.7,28948.0,12253.0,36.842577835641656,44544.0,12435.0,27.916217672413797
77061,26276.0,30.2,39180.0,18680.0,21.780331861775004,26276.0,10356.0,39.41239153600243
77062,26583.0,38.5,88433.0,41094.0,8.05778128879359,26583.0,20090.0,75.57461535567845
77063,38931.0,31.9,44957.0,32805.0,22.82499807351468,38751.0,9667.0,24.946452994761426
77064,49578.0,34.7,67763.0,28699.0,12.098108031788293,48991.0,30827.0,62.92380233104039
