latitude,longitude,calczip
29.45584239,-95.09252881,77539
29.45691269,-95.10374237,77539
29.64809554,-95.78310269,77406
29.65437945,-95.78323084,77406
29.69755625,-95.76029963,77407
29.72204968,-94.96105488,77520
29.73963358,-94.94441991,77520
29.78046882,-95.79644165,77450
29.78480091,-95.73576594,77450
29.78572423,-95.73576429,77449
29.78932724,-95.7518823,77449
29.79179523,-95.81525672,77493
29.80160787,-95.81751706,77493
29.80163678,-95.80185649,77493
29.80192136,-95.77488908,77449
29.81245009,-95.78953026,77449
29.8629714,-95.62201613,77041
29.86470935,-95.69620118,77449
29.86713943,-95.2087032,77044
29.87969281,-95.7239193,77449
29.87980549,-95.70368447,77433
29.87993982,-95.68334099,77084
29.89714125,-95.06347264,77532
29.93417644,-95.68256515,77095
29.94025649,-95.30346318,77015
29.94136058,-95.3017825,77086
29.986019,-95.12078704,77532
29.98660113,-95.11160796,77532
29.98721045,-95.11242296,77532
29.98985981,-95.09148412,77532
29.99259471,-95.11485603,77532
29.99262712,-95.11403558,77532
29.99430544,-95.11495598,77532
29.99442862,-95.11316493,77532
29.99483395,-95.11720732,77532
29.99536584,-95.11066684,77532
29.99538239,-95.10902948,77532
30.00009338,-95.11182406,77336
30.00250461,-95.11070358,77336
30.00251224,-95.11179381,77336
30.00314703,-95.23646537,77338
30.00417331,-95.11333658,77336
30.00422877,-95.11067797,77336
30.00447453,-95.11066427,77336
30.00507854,-95.10991792,77336
30.00580197,-95.10932154,77336
30.00665478,-95.1092924,77336
30.00750531,-95.10926939,77336
30.01012244,-95.11249241,77336
30.01020058,-95.11052032,77336
30.01022473,-95.10928361,77336
30.0112191,-95.10931341,77336
30.0150625,-95.05159036,77532
30.01773342,-95.11263041,77336
30.038575,-95.0484314,77535
30.07906913,-95.42098828,77373
30.08385979,-95.50696192,77389
30.09236497,-95.44984454,77389
30.09296802,-95.19804909,77365
30.33822766,-95.45734973,77301
