,date_field,tempMax,tempAvg,tempMin,precipitation
0,2017-01-01,74,67.5,64,0.3
1,2017-01-02,74,66.9,53,0.07
2,2017-01-03,75,61.9,49,1.22
3,2017-01-04,52,46.5,42,0.0
4,2017-01-05,56,50.4,44,0.0
5,2017-01-06,44,35.1,26,0.0
6,2017-01-07,43,29.9,21,0.27
7,2017-01-08,49,37.3,25,0.0
8,2017-01-09,65,57.3,43,0.0
9,2017-01-10,77,69.8,63,0.0
10,2017-01-11,79,71.8,66,0.0
11,2017-01-12,81,71.5,68,0.0
12,2017-01-13,79,70.4,67,0.11
13,2017-01-14,76,67.7,60,0.07
14,2017-01-15,75,67.8,63,0.0
15,2017-01-16,79,71.7,68,0.16
16,2017-01-17,72,62.9,59,0.17
17,2017-01-18,74,63.5,57,1.81
18,2017-01-19,64,59.4,55,0.79
19,2017-01-20,77,65.1,58,0.42
20,2017-01-21,78,66.5,62,0.95
21,2017-01-22,68,61.8,57,0.05
22,2017-01-23,72,58.8,48,0.0
23,2017-01-24,80,67.3,51,0.0
24,2017-01-25,75,67.3,55,0.0
25,2017-01-26,59,50.0,43,0.0
26,2017-01-27,56,48.1,39,0.0
27,2017-01-28,60,52.0,46,0.0
28,2017-01-29,68,53.6,41,0.0
29,2017-01-30,77,60.3,42,0.0
30,2017-01-31,75,63.4,50,0.0
31,2017-02-01,81,68.8,56,0.0
32,2017-02-02,71,66.3,54,0.0
33,2017-02-03,63,54.4,50,0.0
34,2017-02-04,62,54.4,48,0.0
35,2017-02-05,77,70.3,64,0.03
36,2017-02-06,81,72.5,68,0.02
37,2017-02-07,85,75.2,67,0.0
38,2017-02-08,87,74.2,62,0.0
39,2017-02-09,71,58.9,50,0.0
40,2017-02-10,76,64.3,47,0.0
41,2017-02-11,85,74.9,71,0.0
42,2017-02-12,85,75.0,69,0.0
43,2017-02-13,76,69.0,65,0.0
44,2017-02-14,69,61.4,52,0.0
45,2017-02-15,63,53.6,48,0.78
46,2017-02-16,67,54.7,42,0.0
47,2017-02-17,66,58.3,48,0.0
48,2017-02-18,83,68.4,54,0.19
49,2017-02-19,79,71.6,69,0.0
50,2017-02-20,71,63.0,58,0.0
51,2017-02-21,75,62.4,55,1.39
52,2017-02-22,83,66.8,51,0.0
53,2017-02-23,82,67.2,52,0.0
54,2017-02-24,84,69.5,58,0.0
55,2017-02-25,69,56.8,47,0.0
56,2017-02-26,73,62.6,45,0.0
57,2017-02-27,83,73.2,68,0.01
58,2017-02-28,82,76.5,73,0.0
59,2017-03-01,83,73.6,58,0.0
60,2017-03-02,68,57.6,49,0.0
61,2017-03-03,70,58.4,45,0.0
62,2017-03-04,64,58.7,54,0.0
63,2017-03-05,69,64.6,58,0.09
64,2017-03-06,77,72.8,69,0.95
65,2017-03-07,80,71.6,61,0.24
66,2017-03-08,72,65.2,60,0.02
67,2017-03-09,78,72.0,65,0.0
68,2017-03-10,77,71.8,67,0.0
69,2017-03-11,71,67.5,63,0.0
70,2017-03-12,64,55.8,48,1.37
71,2017-03-13,68,57.3,51,0.0
72,2017-03-14,69,55.3,43,0.0
73,2017-03-15,67,56.3,47,0.0
74,2017-03-16,73,65.0,53,0.0
75,2017-03-17,79,71.3,64,0.0
76,2017-03-18,83,69.9,60,0.0
77,2017-03-19,82,72.8,62,0.0
78,2017-03-20,85,73.5,67,0.0
79,2017-03-21,86,73.7,61,0.0
80,2017-03-22,85,71.7,59,0.0
81,2017-03-23,85,72.2,62,0.0
82,2017-03-24,79,72.6,65,0.0
83,2017-03-25,80,71.4,61,1.28
84,2017-03-26,84,72.2,60,0.0
85,2017-03-27,86,75.7,70,0.0
86,2017-03-28,83,74.2,68,0.0
87,2017-03-29,79,72.3,66,0.0
88,2017-03-30,76,66.5,60,1.68
89,2017-03-31,86,70.2,54,0.0
90,2017-04-01,78,70.6,61,0.0
91,2017-04-02,83,74.3,68,0.07
92,2017-04-03,86,71.9,58,0.02
93,2017-04-04,87,74.6,60,0.0
94,2017-04-05,75,68.0,55,0.0
95,2017-04-06,78,64.6,51,0.0
96,2017-04-07,80,67.4,52,0.0
97,2017-04-08,81,69.4,54,0.0
98,2017-04-09,83,73.1,65,0.0
99,2017-04-10,79,74.3,72,0.0
100,2017-04-11,76,68.1,62,0.14
101,2017-04-12,79,68.5,60,0.73
102,2017-04-13,81,71.6,65,0.19
103,2017-04-14,81,71.0,62,0.0
104,2017-04-15,82,71.5,63,0.0
105,2017-04-16,85,75.7,66,0.0
106,2017-04-17,82,72.6,67,0.0
107,2017-04-18,77,70.5,67,0.23
108,2017-04-19,82,73.6,67,0.28
109,2017-04-20,84,76.2,68,0.01
110,2017-04-21,87,75.5,67,0.0
111,2017-04-22,80,71.1,61,0.0
112,2017-04-23,72,63.0,53,0.0
113,2017-04-24,81,67.3,52,0.0
114,2017-04-25,84,74.9,65,0.0
115,2017-04-26,90,79.5,66,0.0
116,2017-04-27,80,68.0,54,0.0
117,2017-04-28,90,81.4,74,0.0
118,2017-04-29,84,81.0,78,0.0
119,2017-04-30,75,65.8,58,0.01
120,2017-05-01,87,70.7,51,0.0
121,2017-05-02,86,74.1,59,0.0
122,2017-05-03,85,77.4,65,0.0
123,2017-05-04,76,66.5,58,0.2
124,2017-05-05,81,68.6,57,0.0
125,2017-05-06,85,70.8,53,0.0
126,2017-05-07,83,71.9,59,0.0
127,2017-05-08,83,72.6,61,0.0
128,2017-05-09,83,74.1,65,0.0
129,2017-05-10,83,75.8,70,0.02
130,2017-05-11,84,77.8,73,0.0
131,2017-05-12,84,76.4,72,0.33
132,2017-05-13,87,74.7,65,0.0
133,2017-05-14,86,75.1,64,0.0
134,2017-05-15,86,75.1,62,0.0
135,2017-05-16,86,77.8,69,0.0
136,2017-05-17,86,80.0,76,0.0
137,2017-05-18,90,81.9,78,0.0
138,2017-05-19,89,81.9,78,0.0
139,2017-05-20,90,82.3,76,0.01
140,2017-05-21,89,76.8,73,0.0
141,2017-05-22,77,71.7,68,0.04
142,2017-05-23,87,72.3,65,0.19
143,2017-05-24,83,70.8,59,0.02
144,2017-05-25,90,77.3,62,0.0
145,2017-05-26,90,80.8,74,0.0
146,2017-05-27,93,84.8,80,0.0
147,2017-05-28,91,82.2,71,0.0
148,2017-05-29,82,74.0,69,1.47
149,2017-05-30,88,78.3,71,0.0
150,2017-05-31,88,77.4,72,0.0
151,2017-06-01,83,77.0,72,0.18
152,2017-06-02,86,78.5,73,0.07
153,2017-06-03,91,79.7,73,0.03
154,2017-06-04,86,75.1,70,0.28
155,2017-06-05,82,74.8,71,0.92
156,2017-06-06,88,78.5,72,1.67
157,2017-06-07,92,82.1,73,0.15
158,2017-06-08,87,78.3,68,0.0
159,2017-06-09,85,77.1,68,0.0
160,2017-06-10,86,78.3,69,0.0
161,2017-06-11,91,81.2,70,0.0
162,2017-06-12,90,83.1,76,0.02
163,2017-06-13,89,82.8,78,0.02
164,2017-06-14,92,85.0,77,0.07
165,2017-06-15,94,85.1,78,0.0
166,2017-06-16,94,85.3,77,0.0
167,2017-06-17,92,84.6,79,0.0
168,2017-06-18,95,85.9,79,0.0
169,2017-06-19,95,85.7,76,0.0
170,2017-06-20,93,84.9,77,0.0
171,2017-06-21,89,80.1,76,0.0
172,2017-06-22,88,79.9,76,0.22
173,2017-06-23,96,85.6,80,0.07
174,2017-06-24,86,78.5,75,0.38
175,2017-06-25,87,78.0,71,2.34
176,2017-06-26,90,79.2,73,0.21
177,2017-06-27,85,78.5,74,0.0
178,2017-06-28,89,80.0,74,0.48
179,2017-06-29,90,81.1,74,0.0
180,2017-06-30,92,85.1,81,0.17
181,2017-07-01,93,84.9,78,0.0
182,2017-07-02,93,84.9,77,0.0
183,2017-07-03,95,85.7,79,0.0
184,2017-07-04,95,86.3,79,0.0
185,2017-07-05,93,85.8,77,0.0
